id,referee,timezone,date,kick_off,venue_id,venue,city,elapsed_time,extra_time,league_id,league,season,stage,home_team_id,home_team,away_team_id,away_team,home_ft,away_ft,home_ht,away_ht,home_et,away_et,home_pen,away_pen
1251516,,UTC,2024-12-01,00:00:00,,Camp de Futbol La Massana,La Massana,,,313,2a Divisió,2024,Regular Season - 7,17735,Atlètic Club II,3876,Atlètic Amèrica,,,,,,,,
1298774,,UTC,2024-12-01,00:00:00,,Stade René Serge Nabajoth,Les Abymes,90,,377,Division d'Honneur,2024,Regular Season - 9,4397,Siroco Les Abymes,3285,Phare du Canal,0,0,0,0,,,,
1298775,,UTC,2024-12-01,00:00:00,,Stade omnisports Fiesque Duchesne,Baie-Mahault,90,,377,Division d'Honneur,2024,Regular Season - 9,4401,USBM,22101,Cambrefort,3,0,,,,,,
1299825,,UTC,2024-12-01,00:00:00,,Centro Deportivo Yautepec,Yautepec de Zaragoza,,,872,Liga Premier Serie B,2024,Apertura - 13,24940,Deportivo Yautepec,24941,Real Zamora,,,,,,,,
1299826,,UTC,2024-12-01,00:00:00,20074,Estadio Municipal Chino Rivas,Ayotlán,90,4,872,Liga Premier Serie B,2024,Apertura - 13,22054,Deportivo Ayense,24939,Cordobés,1,2,1,0,,,,
1300598,,UTC,2024-12-01,00:00:00,1072,Estadio Miguel Alemán Valdés,Celaya,120,,722,Liga Premier Serie A,2024,Apertura - 14,17787,Lobos ULMX,17783,Deportivo Zap,2,2,2,0,0,0,0,3
1309480,,UTC,2024-12-01,00:00:00,4098,Bernard Park Field,Hamilton,90,,414,Premier League,2024,Regular Season - 7,25133,Wolves Sports Club,20405,Hamilton Parish,1,3,0,0,,,,
1311777,A. Billeter,UTC,2024-12-01,00:00:00,,Beyond Bancard Field,"Davie, Florida",120,,666,Friendlies Women,2024,Friendlies 1,1782,Argentina W,1737,Colombia W,1,1,1,0,0,0,5,4
1315453,R. Mamani,UTC,2024-12-01,00:00:00,2438,Estadio Félix Capriles,Cochabamba,90,4,344,Primera División,2024,Clausura - 24,3637,Aurora,12259,Santa Cruz,7,1,5,0,,,,
1316643,,UTC,2024-12-01,00:00:00,,,,90,9,1017,U23 League,2024,Apertura - Semi-finals,21542,Atlético San Luis U23,21548,Juarez U23,3,3,2,1,,,,
1316761,,UTC,2024-12-01,00:00:00,20404,ABFA Technical Center,Piggotts,90,,1048,Premier Division,2024,Regular Season - 5,22793,Garden Stars,22791,All Saints United,1,3,,,,,,
1180709,Lucas Torezin,UTC,2024-12-01,00:30:00,19377,Estádio São Januário,"Rio de Janeiro, Rio de Janeiro",90,8,71,Serie A,2024,Regular Season - 36,133,Vasco DA Gama,144,Atletico Goianiense,2,2,0,1,,,,
