id,referee,timezone,date,kick_off,venue_id,venue,city,elapsed_time,extra_time,league_id,league,season,stage,home_team_id,home_team,away_team_id,away_team,home_ft,away_ft,home_ht,away_ht,home_et,away_et,home_pen,away_pen
1150202,T. Penso,UTC,2023-12-22,14:30:00,19932,Prince Abdullah al-Faisal Stadium,Jeddah,90,,15,FIFA Intercontinental Cup,2023,3rd Place Final,287,Urawa,1577,Al Ahly,2,4,1,2,,,,
1150201,S. Marciniak,UTC,2023-12-22,18:00:00,1364,King Abdullah Sports City,Jeddah,90,,15,FIFA Intercontinental Cup,2023,Final,50,Manchester City,124,Fluminense,4,0,2,0,,,,
1035344,A. Taylor,UTC,2023-12-22,20:00:00,495,Villa Park,Birmingham,90,,39,Premier League,2023,Regular Season - 18,66,Aston Villa,62,Sheffield Utd,1,1,0,0,,,,
1208139,"Andy Madley, England",UTC,2024-11-23,12:30:00,547.0,King Power Stadium,"Leicester, Leicestershire",90,8.0,39,Premier League,2024,Regular Season - 12,46,Leicester,49,Chelsea,1,2,0,1,,,,
1208133,"Stuart Attwell, England",UTC,2024-11-23,15:00:00,504.0,Vitality Stadium,"Bournemouth, Dorset",90,8.0,39,Premier League,2024,Regular Season - 12,35,Bournemouth,51,Brighton,1,2,0,1,,,,
1208134,"Simon Hooper, England",UTC,2024-11-23,15:00:00,494.0,Emirates Stadium,London,90,5.0,39,Premier League,2024,Regular Season - 12,42,Arsenal,65,Nottingham Forest,3,0,1,0,,,,
1208135,"Tim Robinson, England",UTC,2024-11-23,15:00:00,495.0,Villa Park,Birmingham,90,7.0,39,Premier League,2024,Regular Season - 12,66,Aston Villa,52,Crystal Palace,2,2,1,2,,,,
1208136,"Chris Kavanagh, England",UTC,2024-11-23,15:00:00,8560.0,Goodison Park,Liverpool,90,4.0,39,Premier League,2024,Regular Season - 12,45,Everton,55,Brentford,0,0,0,0,,,,
1208137,"Robert Jones, England",UTC,2024-11-23,15:00:00,535.0,Craven Cottage,London,90,8.0,39,Premier League,2024,Regular Season - 12,36,Fulham,39,Wolves,1,4,1,1,,,,
1208140,"John Brooks, England",UTC,2024-11-23,17:30:00,555.0,Etihad Stadium,Manchester,90,5.0,39,Premier League,2024,Regular Season - 12,50,Manchester City,47,Tottenham,0,4,0,2,,,,
1208142,"Samuel Barrott, England",UTC,2024-11-24,14:00:00,585.0,St. Mary's Stadium,"Southampton, Hampshire",90,9.0,39,Premier League,2024,Regular Season - 12,41,Southampton,40,Liverpool,2,3,1,1,,,,
1208138,"Anthony Taylor, England",UTC,2024-11-24,16:30:00,545.0,Portman Road,"Ipswich, Suffolk",90,4.0,39,Premier League,2024,Regular Season - 12,57,Ipswich,33,Manchester United,1,1,1,1,,,,
1208141,"Craig Pawson, England",UTC,2024-11-25,20:00:00,562.0,St. James' Park,Newcastle upon Tyne,90,7.0,39,Premier League,2024,Regular Season - 12,34,Newcastle,48,West Ham,0,2,0,1,,,,
1299056,"José María Sánchez Martínez, Spain",UTC,2024-11-26,17:45:00,11914.0,Štadión Tehelné pole,Bratislava,90,5.0,2,UEFA Champions League,2024,League Stage - 5,656,Slovan Bratislava,489,AC Milan,2,3,1,1,,,,
1299057,"Danny Makkelie, Netherlands",UTC,2024-11-26,17:45:00,19513.0,epet ARENA,Praha,90,3.0,2,UEFA Champions League,2024,League Stage - 5,628,Sparta Praha,530,Atletico Madrid,0,6,0,2,,,,
1299058,"Irfan Peljto, Bosnia & Herzegovina",UTC,2024-11-26,20:00:00,19939.0,Estadi Olímpic Lluís Companys,Barcelona,90,4.0,2,UEFA Champions League,2024,League Stage - 5,529,Barcelona,106,Stade Brestois 29,3,0,1,0,,,,
1299059,"Mykola Balakin, Ukraine",UTC,2024-11-26,20:00:00,699.0,BayArena,Leverkusen,90,3.0,2,UEFA Champions League,2024,League Stage - 5,168,Bayer Leverkusen,571,Red Bull Salzburg,5,0,3,0,,,,
1299060,"Istvan Kovacs, Romania",UTC,2024-11-26,20:00:00,700.0,Allianz Arena,München,90,5.0,2,UEFA Champions League,2024,League Stage - 5,157,Bayern München,85,Paris Saint Germain,1,0,1,0,,,,
1299061,"Joao Pedro Pinheiro, Portugal",UTC,2024-11-26,20:00:00,907.0,Stadio Giuseppe Meazza,Milano,90,5.0,2,UEFA Champions League,2024,League Stage - 5,505,Inter,173,RB Leipzig,1,0,1,0,,,,
