id,name,type,country,first_season
39,Premier League,League,England,2010
40,Championship,League,England,2011
46,EFL Trophy,Cup,England,2011
45,FA Cup,Cup,England,2011
47,FA Trophy,Cup,England,2011
48,League Cup,Cup,England,2011
43,National League,League,England,2011
41,League One,League,England,2011
42,League Two,League,England,2011
528,Community Shield,Cup,England,2012
44,FA WSL,League,England,2016
49,National League - Play-offs,League,England,2018
50,National League - North,League,England,2019
51,National League - South,League,England,2019
52,Non League Div One - Isthmian North,League,England,2019
53,Non League Div One - Isthmian South Central,League,England,2019
54,Non League Div One - Northern West,League,England,2019
55,Non League Div One - Northern Midlands,League,England,2019
56,Non League Div One - Southern South,League,England,2019
57,Non League Div One - Isthmian South East,League,England,2019
58,Non League Premier - Isthmian,League,England,2019
59,Non League Premier - Northern,League,England,2019
60,Non League Premier - Southern South,League,England,2019
698,FA Women's Cup,Cup,England,2019
670,Community Shield Women,Cup,England,2020
695,U18 Premier League - North,League,England,2020
696,U18 Premier League - South,League,England,2020
697,WSL Cup,Cup,England,2020
699,Women's Championship,League,England,2020
702,Premier League 2 Division One,League,England,2020
703,Professional Development League,League,England,2020
871,Premier League Cup,Cup,England,2021
931,Non League Premier - Southern Central,League,England,2022
932,Non League Div One - Northern East,League,England,2022
933,Non League Div One - Southern Central,League,England,2022
984,National League - North - Play-offs,League,England,2022
985,National League - South - Play-offs,League,England,2022
986,Non League Div One - Play-offs,League,England,2022
987,U18 Premier League - Championship,League,England,2022
993,Non League Premier - Isthmian - Play-offs,League,England,2022
994,Non League Premier - Northern - Play-offs,League,England,2022
995,Non League Premier - Southern South - Play-offs,League,England,2022
996,Non League Premier - Southern Central - Play-offs,League,England,2022
1022,Premier League - Summer Series,League,England,2023
1068,FA Youth Cup,Cup,England,2023
1156,National League Cup,Cup,England,2024
