fixture_id,team_id,manager_id,formation
1208142,41,6025,5-4-1
1208142,40,2006,4-2-3-1
1208138,57,16556,4-2-3-1
1208138,33,4720,3-4-2-1
1208141,34,5,4-3-3
1208141,48,1594,4-2-3-1
1299062,50,4,4-2-3-1
1299062,209,1682,4-3-3
1299063,228,22849,3-4-2-1
1299063,42,7248,4-3-3
1208139,46,98,4-4-1-1
1208139,49,12629,4-2-3-1
1208133,35,2108,4-2-3-1
1208133,51,19253,4-2-3-1
1208134,42,7248,4-3-3
1208134,65,16,4-2-3-1
1208140,50,4,4-3-3
1208140,47,548,4-3-3
1208128,33,5380,4-2-3-1
1208128,46,98,4-3-3
1208129,65,16,4-2-3-1
1208129,34,5,4-3-3
1208130,47,548,4-3-3
1208130,57,16556,4-2-3-1
1208125,49,12629,4-2-3-1
1208125,42,7248,4-3-3
1208135,66,18,4-2-3-1
1208135,52,1534,3-4-2-1
1299067,66,18,4-2-3-1
1299067,496,4842,4-2-3-1
1208114,36,10,4-2-3-1
1208114,55,90,4-2-3-1
1208123,55,90,4-3-3
1208123,35,2108,4-2-3-1
1208126,52,1534,3-4-2-1
1208126,36,10,4-2-3-1
1208131,48,1594,4-1-4-1
1208131,45,7,4-2-3-1
1208132,39,18151,4-2-3-1
1208132,41,6025,5-4-1
1208124,51,19253,4-4-2
1208124,50,4,4-1-4-1
1208127,40,2006,4-2-3-1
1208127,66,18,4-2-3-1
1208136,45,7,4-2-3-1
1208136,55,90,4-3-3
1208137,36,10,4-2-3-1
1208137,39,18151,3-4-2-1
1208144,51,19253,4-4-2
1208144,41,6025,5-4-1
1208143,55,90,4-2-3-1
1208143,46,9443,3-4-2-1
1208146,52,1534,3-4-2-1
1208146,34,5,4-3-3
1208149,65,16,4-2-3-1
1208149,57,16556,4-2-3-1
1208152,39,18151,4-2-3-1
1208152,35,2108,4-2-3-1
1208151,48,1594,4-2-3-1
1208151,42,7248,4-3-3
1208145,49,12629,4-2-3-1
1208145,66,18,4-2-3-1
1208148,33,4720,3-4-2-1
1208148,45,7,4-2-3-1
1208150,47,548,4-3-3
1208150,36,10,4-2-3-1
1208147,40,2006,4-2-3-1
1208147,50,4,4-2-3-1
1208158,57,16556,4-2-3-1
1208158,52,1534,3-4-2-1
1208159,46,5380,4-2-3-1
1208159,48,1594,4-2-3-1
1208156,45,7,4-2-3-1
1208156,39,18151,3-4-2-1
1208160,50,4,4-2-3-1
1208160,65,16,4-2-3-1
1208161,34,5,4-3-3
1208161,40,2006,4-2-3-1
1208162,41,6025,5-3-2
1208162,49,12629,4-2-3-1
1208154,42,7248,4-3-3
1208154,33,4720,3-4-2-1
1208155,66,18,4-2-3-1
1208155,55,90,4-3-3
1208157,36,10,4-2-3-1
1208157,51,19253,3-4-2-1
1208153,35,2108,4-2-3-1
1208153,47,548,4-3-3
1208163,66,18,4-2-3-1
1208163,41,6025,5-3-2
1208164,55,90,3-4-2-1
1208164,34,5,4-3-3
1208165,52,1534,3-4-2-1
1208165,50,4,4-2-3-1
1208170,33,4720,3-4-2-1
1208170,65,16,4-2-3-1
1208167,36,10,4-2-3-1
1208167,42,7248,4-3-3
1208168,57,16556,4-2-3-1
1208168,35,2108,4-2-3-1
1208169,46,5380,4-2-3-1
1208169,51,19253,4-2-3-1
1208171,47,548,4-3-3
1208171,49,12629,4-2-3-1
1208172,48,1594,4-2-3-1
1208172,39,18151,3-4-2-1
1299044,40,2006,4-3-3
1299044,168,6801,3-5-2
1299045,228,4720,3-4-2-1
1299045,50,4,4-1-4-1
1299047,569,6608,4-2-3-1
1299047,66,18,4-2-3-1
1299052,505,2392,3-5-2
1299052,42,7248,4-4-2
1299196,33,5380,4-2-3-1
1299196,619,1163,4-2-3-1
1299338,49,12629,4-1-4-1
1299338,3684,21962,4-2-3-1
1299071,40,2006,4-3-3
1299071,541,2407,4-2-2-2
1208174,42,7248,4-3-3
1208174,45,7,4-3-3
1208177,40,2006,4-3-3
1208177,36,10,4-2-3-1
1208179,34,5,4-3-3
1208179,46,5380,4-2-3-1
1208182,39,18151,3-4-2-1
1208182,57,16556,4-2-3-1
1208180,65,16,4-2-3-1
1208180,66,18,4-2-3-1
1299349,180,1335,4-1-4-1
1299349,49,12629,4-2-3-1
1299212,33,4720,3-4-2-1
1299212,327,1952,4-3-3
1299217,47,548,4-3-3
1299217,497,2853,3-4-2-1
1208175,51,19253,4-2-3-1
1208175,52,1534,3-4-2-1
1208178,50,4,4-1-4-1
1208178,33,4720,3-4-3
1208176,49,12629,4-2-3-1
1208176,55,90,3-5-2
1208181,41,6025,4-3-1-2
1208181,47,548,4-2-3-1
1299226,567,15041,3-4-2-1
1299226,33,4720,3-4-2-1
1299009,656,185,4-2-3-1
1299009,50,4,4-2-3-1
1299010,42,7248,4-4-2
1299010,85,193,4-3-3
1299013,66,18,4-2-3-1
1299013,157,12590,4-2-3-1
1299017,40,2006,4-2-3-1
1299017,500,1611,4-1-4-1
1299022,66,18,4-2-3-1
1299022,500,1611,4-3-3
1035344,66,18,4-4-1-1
1035344,62,6,3-4-2-1
1299027,42,7248,4-4-2
1299027,550,3173,4-2-3-1
1309283,51,19253,4-2-3-1
1309283,40,2006,4-4-2
1309282,33,5380,4-2-3-1
1309282,46,98,4-2-3-1
1309285,66,18,4-2-3-1
1309285,52,1534,3-4-2-1
1310475,34,5,4-3-3
1310475,49,12629,4-2-3-1
1309281,47,548,4-3-3
1309281,50,4,4-1-4-1
1299035,50,4,4-1-4-1
1299035,628,13947,3-4-3
1299036,173,1540,4-4-2
1299036,40,2006,4-3-3
1299075,547,82,4-2-3-1
1299075,40,2006,4-3-3
1208071,35,2108,4-2-3-1
1208071,41,6025,4-2-3-1
1208072,42,7248,4-4-2
1208072,46,98,4-2-3-1
1299081,173,1540,4-4-2
1299081,66,18,4-2-3-1
1208073,55,90,4-4-2
1208073,48,1594,4-1-4-1
1208074,49,12629,4-2-3-1
1208074,51,19253,4-3-3
1208075,45,7,4-2-3-1
1208075,52,1534,3-4-3
1208076,57,16556,4-2-3-1
1208076,66,18,4-2-3-1
1208077,33,1993,4-2-3-1
1208077,47,548,4-3-3
1208078,34,5,4-3-3
1208078,50,4,4-2-3-1
1208079,65,16,4-4-2
1208079,36,10,4-2-3-1
1299088,496,4842,4-2-3-1
1299088,50,4,4-2-3-1
1208080,39,18151,4-1-4-1
1208080,40,2006,4-2-3-1
1208081,42,7248,4-4-2
1208081,41,6025,5-4-1
1208082,66,18,4-2-3-1
1208082,33,1993,4-2-3-1
1299091,42,7248,4-3-3
1299091,91,1542,4-2-3-1
1208083,55,90,4-2-3-1
1208083,39,18151,4-1-4-1
1208084,51,19253,4-2-3-1
1208084,47,548,4-3-3
1208085,49,12629,4-2-3-1
1208085,65,16,4-2-3-1
1208086,52,1534,3-4-3
1208086,40,2006,4-2-3-1
1208087,45,7,4-2-3-1
1208087,34,5,4-3-3
1208088,46,98,4-2-3-1
1208088,35,2108,4-2-3-1
1208089,50,4,4-1-4-1
1208089,36,10,5-4-1
1208090,48,1594,4-1-4-1
1208090,57,16556,4-2-3-1
1208091,35,2108,4-2-3-1
1208091,42,7248,4-2-3-1
1208092,36,10,4-2-3-1
1208092,66,18,4-2-3-1
1208093,57,16556,4-2-3-1
1208093,45,7,4-2-3-1
1208094,40,2006,4-2-3-1
1208094,49,12629,4-2-3-1
1208095,33,1993,4-2-3-1
1208095,55,90,4-2-3-1
1208096,34,5,4-3-3
1208096,51,19253,4-4-2
1208097,65,16,4-2-3-1
1208097,52,1534,3-1-4-2
1208098,41,6025,4-5-1
1208098,46,98,4-2-3-1
1208099,47,548,4-3-3
1208099,48,1594,4-1-4-1
1299233,257,1518,4-2-3-1
1299233,47,548,4-2-3-1
1208100,39,18151,3-5-2
1208100,50,4,4-1-4-1
1208103,42,7248,4-4-2
1208103,40,2006,4-2-3-1
1208104,66,18,4-4-1-1
1208104,35,2108,4-2-3-1
1208105,55,90,4-2-3-1
1208105,57,16556,4-2-3-1
1208106,51,19253,4-4-2
1208106,39,18151,3-4-2-1
1208107,49,12629,4-2-3-1
1208107,34,5,4-3-3
1208108,52,1534,3-4-2-1
1208108,47,548,4-3-3
1208109,45,7,4-2-3-1
1208109,36,10,4-2-3-1
1208110,46,98,4-2-3-1
1208110,65,16,4-2-3-1
1208111,50,4,4-1-4-1
1208111,41,6025,5-4-1
1208112,48,1594,4-2-3-1
1208112,33,1993,4-2-3-1
1208113,35,2108,4-2-3-1
1208113,50,4,4-1-4-1
1208115,57,16556,4-2-3-1
1208115,46,98,4-2-3-1
1208116,40,2006,4-2-3-1
1208116,51,19253,4-4-2
1208117,33,5380,4-2-3-1
1208117,49,12629,4-2-3-1
1208118,34,5,4-3-3
1208118,42,7248,4-4-2
1208119,65,16,4-2-3-1
1208119,48,1594,3-4-2-1
1208120,41,6025,5-4-1
1208120,45,7,4-2-3-1
