player_id,name,firstname,lastname,birthdate,birthplace,birthcountry,nationality,height,weight,photo
5,M. Akanji,Manuel Obafemi,Akanji,1995-07-19,Neftenbach,Switzerland,Switzerland,186 cm,91 kg,https://media.api-sports.io/football/players/5.png
6,L. Balerdi,Leonardo Julián,Balerdi Rosa,1999-01-26,Villa Mercedes,Argentina,Argentina,187 cm,76 kg,https://media.api-sports.io/football/players/6.png
8,Raphaël Guerreiro,Raphaël Adelino José,Guerreiro,1993-12-22,Le Blanc-Mesnil,France,Portugal,170 cm,71 kg,https://media.api-sports.io/football/players/8.png
9,A. Hakimi,Achraf,Hakimi Mouh,1998-11-04,Madrid,Spain,Morocco,181 cm,73 kg,https://media.api-sports.io/football/players/9.png
17,C. Pulišić,Christian Mate,Pulišić,1998-09-18,Hershey,USA,USA,177 cm,73 kg,https://media.api-sports.io/football/players/17.png
18,J. Sancho,Jadon Malik,Sancho,2000-03-25,London,England,England,180 cm,76 kg,https://media.api-sports.io/football/players/18.png
23,Sergio Gómez,Sergio,Gómez Martín,2000-09-04,Badalona,Spain,Spain,173 cm,71 kg,https://media.api-sports.io/football/players/23.png
37,N. Pérez,Patricio Nehuén,Pérez,2000-06-24,Hurlingham,Argentina,Argentina,185 cm,75 kg,https://media.api-sports.io/football/players/37.png
44,Rodri,Rodrigo,Hernández Cascante,1996-06-22,Madrid,Spain,Spain,190 cm,82 kg,https://media.api-sports.io/football/players/44.png
49,T. Partey,Thomas,Teye Partey,1993-06-13,Odumase Krobo,Ghana,Ghana,185 cm,77 kg,https://media.api-sports.io/football/players/49.png
59,Álvaro Morata,Álvaro Borja,Morata Martín,1992-10-23,Madrid,Spain,Spain,190 cm,84 kg,https://media.api-sports.io/football/players/59.png
68,Clinton Mata,Clinton,Mukoni Mata Pedro Lourenço,1992-11-07,Verviers,Belgium,Angola,180 cm,72 kg,https://media.api-sports.io/football/players/68.png
69,B. Mechele,Brandon,Mechele,1993-01-28,Bredene,Belgium,Belgium,190 cm,81 kg,https://media.api-sports.io/football/players/69.png
