fixture_id,team_id,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_in_box,shots_out_box,fouls,corners,offsides,possession,yellow_cards,red_cards,gk_saves,total_passes,accurate_passes,pass_perc,xgoal,goals_prevented
1208142,41,5,2,7,0,5,2,11,3,0,38%,3,0,8,365,303,83%,1.28,0
1208142,40,11,7,27,9,18,9,9,10,1,62%,4,0,3,600,531,89%,3.15,0
1208138,57,6,3,11,2,5,6,11,4,0,40%,0,0,3,424,349,82%,1.59,0
1208138,33,4,5,11,2,8,3,10,3,1,60%,0,0,5,649,568,88%,0.80,0
1208141,34,2,10,18,6,14,4,11,8,1,53%,1,0,4,509,433,85%,1.64,0
1208141,48,6,3,15,6,7,8,8,3,0,47%,0,0,2,475,390,82%,0.81,0
1299062,50,9,2,18,7,15,3,7,10,0,64%,1,0,2,630,564,90%,2.21,0
1299062,209,5,3,10,2,5,5,13,2,1,36%,1,0,6,370,306,83%,2.16,0
1299063,228,8,8,19,3,9,10,6,8,0,52%,1,0,4,497,447,90%,1.05,1
1299063,42,9,2,13,2,10,3,8,3,1,48%,1,0,8,458,402,88%,3.89,1
1208139,46,1,2,4,1,4,0,15,2,3,37%,4,0,4,353,264,75%,1.11,0
1208139,49,7,6,16,3,11,5,12,9,1,63%,3,0,0,609,528,87%,2.75,0
1208133,35,5,11,19,3,14,5,13,7,5,55%,2,0,2,479,415,87%,1.63,0
1208133,51,4,1,6,1,5,1,10,0,1,45%,4,1,4,421,339,81%,0.94,0
1208134,42,7,7,19,5,14,5,10,8,4,66%,3,0,0,587,536,91%,1.19,-1
1208134,65,0,5,7,2,5,2,11,1,2,34%,2,0,3,295,240,81%,0.33,-1
1208140,50,5,11,23,7,17,6,19,9,2,58%,4,0,3,566,523,92%,2.14,1
1208140,47,7,2,9,0,7,2,9,3,3,42%,2,0,5,427,358,84%,2.51,1
1208128,33,3,4,13,6,6,7,9,1,1,51%,0,0,5,491,418,85%,0.76,-2
1208128,46,5,1,6,0,4,2,5,5,2,49%,1,0,1,466,388,83%,0.63,-2
